cn,label,en,cleaned_en
阿司匹林,2,aspirin,aspirin
阿尔卑斯糖,4,Alpine sugar,alpine sugar
艾草,4,Wormwood,wormwood
艾叶,4,Ai Ye,ai ye
安全帽,1,helmet,helmet
安全套,8,Condom,condom
按摩棒,8,Massage stick,massage stick
密胺碗,1,Melamine bowl,melamine bowl
密胺餐具,1,Melamine tableware,melamine tableware
档案袋,1,Portfolio,portfolio
肮脏塑料袋,8,Dirty plastic bag,dirty plastic bag
棉袄,1,Cotton jacket,cotton jacket
芭蕉叶,4,Banana leaf,banana leaf
八角,4,star anise,star anise
八宝饭,4,Eight Treasure Rice,eight treasure rice
八宝粥,4,Eight Treasure Congee,eight treasure congee
锅巴,4,Crispy rice,crispy rice
泥巴,8,Mud,mud
巴旦木壳,4,Altar husk,altar husk
扫把,8,broom,broom
拖把,8,mop,mop
旧拖把,8,Old mop,old mop
浴霸灯,1,Yuba lamp,yuba lamp
浴霸灯泡,2,Yuba Bulb,yuba bulb
白菜,4,Chinese cabbage,chinese cabbage
白纸,1,White paper,white paper
百洁布,8,Scouring pad,scouring pad
玻璃摆件,1,Glass ornaments,glass ornaments
一般铁罐,1,General tin can,general tin can
板栗,4,Chestnut,chestnut
复印件版纸,1,Copy paper,copy paper
干拌面,4,Dry noodles,dry noodles
搅拌棒,8,Stirring rod,stirring rod
搅拌勺,8,Mixing spoon,mixing spoon
花瓣,4,petal,petal
衣服半成品,1,Semi-finished clothes,semifinished clothes
手办,1,Figure,figure
蹄膀,4,Hoof,hoof
鸡翅膀,4,Chicken wings,chicken wings
蹄膀骨头,8,Hoof bones,hoof bones
棒骨,8,Stick bone,stick bone
胶棒,8,Glue stick,glue stick
棉棒,8,Cotton swab,cotton swab
蚌壳,8,Clam shell,clam shell
包包,1,Bag,bag
包子,4,steamed stuffed bun,steamed stuffed bun
布包,1,Cloth bag,cloth bag
包装薄膜,8,Packaging film,packaging film
塑料薄膜,8,plastic film,plastic film
薄型塑料袋,8,Thin plastic bag,thin plastic bag
保健品,2,Health products,health products
保龄球,8,bowling,bowling
