cn,label,en,cleaned_en
急支糖浆,2,Emergency syrup,emergency syrup
花茶渣,4,Scented tea dregs,scented tea dregs
小骨,4,Small bones,small bones
陈皮,4,Tangerine peel,tangerine peel
湿厕纸,8,Wet toilet paper,wet toilet paper
床,16,bed,bed
发卡,8,Card issuance,card issuance
投影仪,1,projector,projector
喝过的茶叶,4,Drunk tea,drunk tea
手机链,8,Phone chain,phone chain
陶瓷花瓶,8,Ceramic vase,ceramic vase
矿水瓶,1,Mineral water bottle,mineral water bottle
包裹着猫屎的膨润土猫砂,8,Bentonite cat litter wrapped in cat feces,bentonite cat litter wrapped in cat feces
碳性电池,8,Carbon battery,carbon battery
垃圾桶,1,garbage can,garbage can
大型显示器,1,Large display,large display
芋头,4,Taro,taro
硬盘,1,hard disk,hard disk
布袋,1,Cloth bag,cloth bag
证书,1,Certificate,certificate
粥,4,Porridge,porridge
羊肉,4,mutton,mutton
绿茶包装盒,1,Green tea packaging box,green tea packaging box
一次性注射器,2,Disposable syringe,disposable syringe
残枝,4,Remaining branch,remaining branch
无纺布手提袋,1,Non-woven tote bag,nonwoven tote bag
蟹,4,crab,crab
塑料笔杆,8,Plastic pen holder,plastic pen holder
料酒瓶,1,Cooking wine bottle,cooking wine bottle
离心纸,8,Centrifuge paper,centrifuge paper
消毒剂,2,Disinfectant,disinfectant
方便面包装袋,8,Instant noodle packaging bag,instant noodle packaging bag
镍铝电池,2,Nickel aluminum battery,nickel aluminum battery
牙刷头,8,Toothbrush head,toothbrush head
高跟鞋,1,High heel,high heel
草皮,4,turf,turf
苹果皮,4,Apple peel,apple peel
棉球,8,Cotton ball,cotton ball
无纺布袋,1,Non-woven bags,nonwoven bags
花蛤肉,4,Clam meat,clam meat
甲油,2,Nail polish,nail polish
收音机,1,radio,radio
羊毛毯,1,Blanket,blanket
油污布,8,Oily cloth,oily cloth
粟子壳,4,Millet shell,millet shell
退热贴,8,Antipyretic stickers,antipyretic stickers
白菜,4,Chinese cabbage,chinese cabbage
复印纸,1,Copy Paper,copy paper
牛皮筋,8,Cowhide band,cowhide band
芦稷皮,8,Reed,reed
哈密瓜皮,4,Cantaloupe peel,cantaloupe peel
玉米芯,4,Corn cob,corn cob
芒果皮,4,Mango peel,mango peel
生鸡蛋壳,4,Raw egg shell,raw egg shell
暖宝宝贴,8,Warm baby stickers,warm baby stickers
墙灰,8,Wall gray,wall gray
乐扣乐扣,1,Lock & Lock,lock  lock
豆杆,4,Bean stalk,bean stalk
餐盒,8,Lunch box,lunch box
小广告,1,Small ad,small ad
面粉袋,8,Flour bag,flour bag
酒精瓶,1,alcohol bottle,alcohol bottle
