cn,label,en
阿司匹林,2,aspirin
阿尔卑斯糖,4,Alpine sugar
艾草,4,Wormwood
艾叶,4,Ai Ye
安全帽,1,helmet
安全套,8,Condom
按摩棒,8,Massage stick
密胺碗,1,Melamine bowl
密胺餐具,1,Melamine tableware
档案袋,1,Portfolio
肮脏塑料袋,8,Dirty plastic bag
棉袄,1,Cotton jacket
芭蕉叶,4,Banana leaf
八角,4,star anise
八宝饭,4,Eight Treasure Rice
八宝粥,4,Eight Treasure Congee
锅巴,4,Crispy rice
泥巴,8,Mud
巴旦木壳,4,Altar husk
扫把,8,broom
拖把,8,mop
旧拖把,8,Old mop
浴霸灯,1,Yuba lamp
浴霸灯泡,2,Yuba Bulb
白菜,4,Chinese cabbage
白纸,1,White paper
百洁布,8,Scouring pad
玻璃摆件,1,Glass ornaments
一般铁罐,1,General tin can
板栗,4,Chestnut
复印件版纸,1,Copy paper
干拌面,4,Dry noodles
搅拌棒,8,Stirring rod
搅拌勺,8,Mixing spoon
花瓣,4,petal
衣服半成品,1,Semi-finished clothes
手办,1,Figure
蹄膀,4,Hoof
鸡翅膀,4,Chicken wings
蹄膀骨头,8,Hoof bones
棒骨,8,Stick bone
胶棒,8,Glue stick
棉棒,8,Cotton swab
蚌壳,8,Clam shell
包包,1,Bag
包子,4,steamed stuffed bun
布包,1,Cloth bag
包装薄膜,8,Packaging film
塑料薄膜,8,plastic film
薄型塑料袋,8,Thin plastic bag
保健品,2,Health products
保龄球,8,bowling
保暖杯,1,Warm cup
汉堡,4,hamburger
汉堡包,4,hamburger
汉堡盒,8,Burger Box
宝特瓶,1,PET bottle
抱枕,1,Pillow
报刊,1,press
报纸,1,newspaper
海报,1,poster
鲍鱼,8,abalone
鲍鱼壳,8,Abalone shell
爆竹,8,Firecrackers
爆米花,4,Popcorn
铁杯,1,Iron cup
纸杯,8,Paper cup
旧背包,1,Old backpack
贝壳,8,shell
扇贝,8,scallop
贝壳类,8,Shellfish
电脑设备,1,Computer equipment
被单,1,bed sheet
被套,1,quilt cover
被芯,1,Quilt
本子,1,book
绘本,1,Picture book
课本,1,textbook
绷带,8,bandage
鼻毛,8,Nose hair
鼻屎,8,Booger
鼻涕纸,8,Snot paper
笔,8,Pen
笔袋,8,Pencil case
雪碧瓶,1,Sprite bottle
碧根果壳,8,Pecan husk
冥币,8,Mingbi
游戏币,1,Game currency
避孕套,8,condom
避孕药,2,Birth control pills
用过的避孕套,8,Used condom
鞭炮,8,firecracker
牛鞭,4,Bullwhip
纸张鞭炮,8,Paper firecrackers
编织袋,8,Woven bag
便签,8,Memo
变质食品,4,Spoiled food
变质的食物,4,Spoiled food
标签,8,Label
鼠标,1,mouse
标签卡,8,Label card
手表,1,watch
钟表,1,Clock
电表盒,1,Electric meter box
别针,8,pin
曲别针,8,paper clip
瘪掉的篮球,1,Deflated basketball
冰袋,8,ice bag
冰柜,1,Freezer
冰糖,4,crystal sugar
葡萄柄,4,Grape handle
游戏手柄,1,Gamepad
丙烯,8,Acrylic
饼干,4,biscuits
大饼,4,Flatbread
粉饼,8,Pressed powder
病人换下来的纸尿裤,8,Diapers changed by the patient
玻璃,1,grass
玻璃杯,1,glass
玻璃尺,1,Glass ruler
菠菜,4,spinach
菠萝,4,Pineapple
菠萝干,4,Dried pineapple
数字音乐播放器,1,Digital music player
微波炉,1,Micro-wave oven
铂金纸,8,Platinum paper
铝箔,1,Aluminum foil
鋁箔,1,Aluminum foil
锡箔,8,Tin foil
鸭脖,4,Duck neck
鸭脖子,4,Duck neck
捕蚊灯,1,Mosquito trap
萝卜,4,Radish
胡萝卜,4,carrot
萝卜干,4,Dried radish
不锈钢,1,Stainless steel
不粘锅,1,Non-stick pan
尿不湿,8,Diapers
布,1,cloth
布袋,1,Cloth bag
电话簿,1,Phone book
板擦儿,8,Eraser
擦屎纸,8,Shit paper
擦手巾,8,Hand towel
药材,4,Medicinal materials
彩笔,8,Crayons
彩电,1,Color TV
彩票,8,Lottery
菜,4,vegetable
餐盒,8,Lunch box
餐巾,8,napkin
餐纸,8,Napkin
西洋参,4,American Ginseng
蚕丝,1,silk
蚕豆壳,4,Broad Bean Shell
残羹,4,Residual
残花,4,Residual flower
残枝,4,Remaining branch
苍蝇,4,fly
苍蝇拍,8,Fly swatter
草,4,Grass
草莓,4,Strawberry
厕纸,8,Toilet paper
厕所纸,8,Toilet paper
手册,1,manual
相册,8,Photo album
宣传册,1,brochure
插排,1,Power strip
插头,1,plug
插座,1,socket
叉子,1,fork
塑料叉子,8,Plastic fork
一次性叉子,8,Disposable fork
茶,4,Tea
茶包,8,tea bag
茶袋,8,Tea bag
搽鼻涕纸,8,Sniffing paper
火柴,8,matches
硅胶铲,8,Silicone spatula
木铲板,1,Wooden spatula
电器产品,1,Electrical products
电子产品,1,electronic product
